ORDER_NUMBER,CUSTOMER_KEY,ORDER_TOTAL,DISCOUNT,ORDER_DATE,ORDER_STATUS,DELIVERY_STATUS
O100171,C10035,1007.76,0,25-11-2015,Delivered,ON-TIME
O100172,C100693,2065.42,0,25-11-2015,Delivered,ON-TIME
O100173,C100046,0,0,26-05-2016,Delivered,ON-TIME
O100174,C100276,1277.290039,0,25-11-2015,Delivered,ON-TIME
O100175,C100250,640.9,0,26-11-2015,Delivered,ON-TIME
O100176,C100111,814.3200073,0,26-11-2015,Delivered,ON-TIME
O100177,C100683,68.58000183,0,26-11-2015,Delivered,ON-TIME
O100178,C100285,168.7299957,0,26-11-2015,Delivered,ON-TIME
O100179,C10086,704.4299927,0,26-11-2015,Delivered,ON-TIME
O100180,C100141,540.6,0,26-11-2015,Delivered,ON-TIME
O100181,C10061,1038.430054,0,26-11-2015,Delivered,ON-TIME
O100182,C10064,428.3999939,0,26-11-2015,Delivered,ON-TIME
O100183,C100105,2065.5,0,26-11-2015,Delivered,ON-TIME
O100184,C100090,936.62,0,26-05-2016,Delivered,ON-TIME
O100185,C100642,2007.699951,0,26-11-2015,Delivered,ON-TIME
O100186,C10041,791.3400269,0,26-11-2015,Delivered,LATE
O100187,C100695,1341.03,0,26-11-2015,Delivered,ON-TIME
O100188,C100696,340,0,26-11-2015,Delivered,ON-TIME
O100189,C100145,1371.82,0,26-11-2015,Delivered,ON-TIME
O100190,C100697,243.12,0,26-11-2015,Delivered,ON-TIME
O100191,C100698,194.6300049,0,26-11-2015,Delivered,ON-TIME
O100192,C100699,114.84,0,26-11-2015,Delivered,ON-TIME
O100193,C100192,765.02,0,26-11-2015,Delivered,ON-TIME
O100194,C100091,1081.51,0,26-05-2016,Delivered,ON-TIME
O100195,C100677,246.0200043,0,27-11-2015,Delivered,ON-TIME
O100196,C100285,154.3200073,0,27-11-2015,Delivered,ON-TIME
O100197,C100700,1130.59,0,27-11-2015,Delivered,ON-TIME
O100198,C100701,734.4,0,27-11-2015,Delivered,ON-TIME
O100199,C100632,1775.949951,0,27-11-2015,Delivered,ON-TIME
O100200,C100159,551.5800171,0,27-11-2015,Delivered,ON-TIME
O100201,C100702,2375.95,0,27-11-2015,Delivered,ON-TIME
O100202,C100270,334.8999939,0,27-11-2015,Delivered,ON-TIME
O100203,C100250,252.45,0,27-11-2015,Delivered,ON-TIME
O100204,C100110,252.19,0,27-11-2015,Delivered,LATE
O100205,C100092,541.06,0,26-05-2016,Delivered,ON-TIME
O100206,C10051,768.91,0,27-11-2015,Delivered,ON-TIME
O100207,C10051,552.5,0,27-11-2015,Delivered,ON-TIME
O100208,C100698,30.45999908,0,27-11-2015,Delivered,ON-TIME
O100209,C100268,1825.73,0,27-11-2015,Delivered,ON-TIME
O100210,C100173,81.6,0,27-11-2015,Delivered,ON-TIME
O100211,C100135,44.63000107,0,27-11-2015,Delivered,ON-TIME
O100212,C100472,301.8800049,0,27-11-2015,Delivered,ON-TIME
O100213,C10032,2530.070068,0,27-11-2015,Delivered,ON-TIME
O100214,C10079,998.58,0,11-02-2016,Delivered,ON-TIME
O100215,C100093,540.89,0,26-05-2016,Delivered,ON-TIME
O100216,C100703,317.05,0,28-11-2015,Delivered,ON-TIME
O100217,C100113,6209.950195,0,28-11-2015,Delivered,ON-TIME
O100218,C10068,2353.27,0,28-11-2015,Delivered,ON-TIME
O100219,C10061,158.1000061,0,28-11-2015,Delivered,ON-TIME
O100220,C100157,989.2299805,0,28-11-2015,Delivered,ON-TIME
O100221,C100166,989.1400146,0,28-11-2015,Delivered,ON-TIME
O100222,C100133,432.4500122,0,28-11-2015,Delivered,LATE
O100223,C100704,138.04,0,28-11-2015,Delivered,ON-TIME
O100224,C100706,160.0500031,0,28-11-2015,Delivered,ON-TIME
O100225,C100559,627.7299805,0,28-11-2015,Delivered,ON-TIME
O100226,C100094,1671.17,0,26-05-2016,Delivered,ON-TIME
O100227,C10099,655.4299927,0,28-11-2015,Delivered,ON-TIME
O100228,C100188,2084.790039,0,28-11-2015,Delivered,ON-TIME
O100229,C100694,61.88000107,0,28-11-2015,Delivered,ON-TIME
O100230,C100270,199.75,0,28-11-2015,Delivered,ON-TIME
O100231,C100679,878.1699829,0,28-11-2015,Delivered,ON-TIME
O100232,C100707,600.75,0,28-11-2015,Delivered,ON-TIME
O100233,C100708,326.9,0,28-11-2015,Delivered,ON-TIME
O100234,C100200,1100.339966,0,28-11-2015,Delivered,ON-TIME
O100235,C10095,506.5700073,0,28-11-2015,Delivered,ON-TIME
O100236,C100157,342.2000122,0,28-11-2015,Delivered,ON-TIME
O100237,C100096,1526.88,0,26-05-2016,Delivered,ON-TIME
O100238,C100191,516.1300049,0,28-11-2015,Delivered,ON-TIME
O100239,C100154,232.8999939,0,28-11-2015,Delivered,ON-TIME
O100240,C100687,102,0,28-11-2015,Delivered,LATE
O100241,C100566,807.16,0,28-11-2015,Delivered,ON-TIME
O100242,C100240,1312.369995,0,28-11-2015,Delivered,ON-TIME
O100243,C100710,74.38,0,28-11-2015,Delivered,ON-TIME
O100244,C100454,2314.44,0,28-11-2015,Delivered,ON-TIME
O100245,C100126,2384.810059,0,28-11-2015,Delivered,ON-TIME
O100246,C100127,1553.37,0,28-11-2015,Delivered,ON-TIME
O100247,C100182,785.9899902,0,28-11-2015,Delivered,ON-TIME
O100248,C100097,707.9,0,26-05-2016,Delivered,ON-TIME
O100249,C100249,338.73,0,28-11-2015,Delivered,ON-TIME
O100250,C100664,147.2200012,0,28-11-2015,Delivered,ON-TIME
O100251,C100711,125.1200027,0,28-11-2015,Delivered,ON-TIME
O100252,C100328,1485.800049,0,29-11-2015,Delivered,ON-TIME
O100253,C100336,43.93999863,0,29-11-2015,Delivered,ON-TIME
O100254,C100712,97.4,0,29-11-2015,Cancelled,
O100255,C10093,2098.65,0,29-11-2015,Delivered,ON-TIME
O100256,C100713,4715.53,0,29-11-2015,Delivered,ON-TIME
O100257,C100714,1090.579956,0,29-11-2015,Delivered,ON-TIME
O100258,C100302,728.11,0,29-11-2015,Delivered,LATE
O100259,C100098,37,0,26-05-2016,Delivered,ON-TIME
O100260,C100130,2084.080078,0,29-11-2015,Delivered,ON-TIME
O100261,C100113,369.75,0,29-11-2015,Cancelled,
O100262,C100716,419.05,0,29-11-2015,Delivered,ON-TIME
O100263,C100127,187,0,29-11-2015,Cancelled,
O100264,C100126,306,0,29-11-2015,Delivered,ON-TIME
O100265,C100715,3359.469971,0,29-11-2015,Delivered,ON-TIME
O100266,C100717,594.83,0,29-11-2015,Delivered,ON-TIME
O100267,C100307,748,0,29-11-2015,Delivered,ON-TIME
O100268,C100331,721.78,0,29-11-2015,Delivered,ON-TIME
O100269,C100216,35.7,0,29-11-2015,Delivered,ON-TIME
O100270,C100098,677.55,0,26-05-2016,Delivered,ON-TIME
O100271,C10041,609.4500122,0,29-11-2015,Delivered,ON-TIME
O100272,C100124,842.4099731,0,29-11-2015,Delivered,ON-TIME
O100273,C10093,229.17,0,29-11-2015,Delivered,ON-TIME
O100274,C100718,678.37,0,29-11-2015,Delivered,ON-TIME
O100275,C100302,465.38,0,29-11-2015,Cancelled,
O100276,C100268,412.68,0,29-11-2015,Delivered,LATE
O100277,C100198,564.4,0,29-11-2015,Delivered,ON-TIME
O100278,C100574,2918.939941,0,29-11-2015,Delivered,ON-TIME
O100279,C10099,3502.25,0,29-11-2015,Delivered,ON-TIME
O100280,C100546,893.35,0,30-11-2015,Delivered,ON-TIME
O100281,C100099,167.84,0,26-05-2016,Delivered,ON-TIME
O100282,C100123,450.4299927,0,30-11-2015,Delivered,ON-TIME
O100283,C100124,566.2600098,0,30-11-2015,Delivered,ON-TIME
O100284,C100719,1006.849976,0,30-11-2015,Cancelled,
O100285,C100720,1805.4,0,30-11-2015,Delivered,ON-TIME
O100286,C100721,1687.26,0,30-11-2015,Delivered,ON-TIME
O100287,C100143,706.0599976,0,30-11-2015,Delivered,ON-TIME
O100288,C100205,147.58,0,30-11-2015,Delivered,ON-TIME
O100289,C100288,472.6099854,0,30-11-2015,Delivered,ON-TIME
O100290,C100104,282.9,0,30-11-2015,Delivered,ON-TIME
O100291,C100119,137.5200043,0,30-11-2015,Delivered,ON-TIME
O100292,C100048,1330.11,0,27-05-2016,Delivered,ON-TIME
O100293,C100687,265.0299988,0,30-11-2015,Delivered,ON-TIME
O100294,C100277,143.66,0,30-11-2015,Delivered,LATE
O100295,C10078,1996.79,0,30-11-2015,Delivered,ON-TIME
O100296,C100261,1487.640015,0,30-11-2015,Delivered,ON-TIME
O100297,C10079,777.57,0,30-11-2015,Cancelled,
O100298,C100563,1800.54,0,30-11-2015,Delivered,ON-TIME
O100299,C100633,1122.85,0,30-11-2015,Delivered,ON-TIME
O100300,C100350,1483.099976,0,30-11-2015,Delivered,ON-TIME
O100301,C100292,873.8099976,0,30-11-2015,Delivered,ON-TIME
O100302,C100100,1157.56,0,27-05-2016,Delivered,ON-TIME
O100303,C100293,779.74,0,30-11-2015,Delivered,ON-TIME
O100304,C100240,178.7599945,0,30-11-2015,Delivered,ON-TIME
O100305,C100242,398.3299866,0,30-11-2015,Delivered,ON-TIME
O100306,C10053,796.5,0,30-11-2015,Delivered,ON-TIME
O100307,C100714,903.6500244,0,30-11-2015,Delivered,ON-TIME
O100308,C100722,207.3999939,0,30-11-2015,Delivered,ON-TIME
O100309,C100666,961.6300049,0,30-11-2015,Delivered,ON-TIME
O100310,C100279,379.95,0,30-11-2015,Cancelled,
O100311,C100723,355.35,0,01-12-2015,Cancelled,
O100312,C100721,862.63,0,01-12-2015,Delivered,LATE
O100313,C100101,652.15,0,27-05-2016,Delivered,ON-TIME
O100314,C100349,669.99,0,01-12-2015,Delivered,ON-TIME
O100315,C100230,609.88,0,01-12-2015,Delivered,ON-TIME
O100316,C100200,1094.670044,0,01-12-2015,Delivered,ON-TIME
O100317,C10041,152.5700073,0,01-12-2015,Delivered,ON-TIME
O100318,C10053,282.3299866,0,01-12-2015,Delivered,ON-TIME
O100319,C100724,1906.28,0,01-12-2015,Delivered,ON-TIME
O100320,C100725,6654.950195,0,01-12-2015,Delivered,ON-TIME
O100321,C100726,3494.98999,0,01-12-2015,Delivered,ON-TIME
O100322,C100727,2193.120117,0,01-12-2015,Delivered,ON-TIME
O100323,C10080,NULL,NULL,11-02-2016,Delivered,ON-TIME
O100324,C100102,0,0,27-05-2016,Delivered,ON-TIME
O100325,C100282,1495.17,0,01-12-2015,Delivered,ON-TIME
O100326,C100282,1337.49,0,01-12-2015,Cancelled,
O100327,C100373,1679.040039,0,01-12-2015,Delivered,ON-TIME
O100328,C100472,233.75,0,01-12-2015,Delivered,ON-TIME
O100329,C10068,645.38,0,01-12-2015,Delivered,ON-TIME
O100330,C100728,4021.899902,0,01-12-2015,Delivered,LATE
O100331,C100729,2231.83,0,01-12-2015,Delivered,ON-TIME
O100332,C100730,1906.15,0,01-12-2015,Delivered,ON-TIME
O100333,C100239,1741.670044,0,01-12-2015,Delivered,ON-TIME
O100334,C100311,956.66,0,01-12-2015,Delivered,ON-TIME
O100335,C100103,378.98,0,27-05-2016,Delivered,ON-TIME
O100336,C100124,95.19999695,0,01-12-2015,Delivered,ON-TIME
O100337,C100306,717.960022,0,01-12-2015,Delivered,ON-TIME
O100338,C100187,890.7299805,0,01-12-2015,Delivered,ON-TIME
O100339,C10033,492.3500061,0,01-12-2015,Delivered,ON-TIME
O100340,C100731,735.18,0,01-12-2015,Delivered,ON-TIME
O100341,C100556,958.29,0,01-12-2015,Delivered,ON-TIME
O100342,C100732,567.16,0,02-12-2015,Delivered,ON-TIME
O100343,C100306,66.37999725,0,02-12-2015,Delivered,ON-TIME
O100344,C100322,535.0800171,0,02-12-2015,Delivered,ON-TIME
O100345,C100104,0,0,27-05-2016,Cancelled,
O100346,C100725,1161.119995,0,02-12-2015,Delivered,ON-TIME
O100347,C100726,47.43000031,0,02-12-2015,Delivered,ON-TIME
O100348,C100627,378.87,0,02-12-2015,Delivered,LATE
O100349,C100733,323,0,02-12-2015,Delivered,ON-TIME
O100350,C100734,212.5,0,02-12-2015,Delivered,ON-TIME
O100351,C100735,243.9400024,0,02-12-2015,Delivered,ON-TIME
